WBGeneID,Public_name
WBGene00008425,D2045.8
WBGene00008436,DH11.2
WBGene00008446,E01G4.3
WBGene00008451,cest-3
WBGene00008455,E02H1.1
WBGene00008457,E02H1.5
WBGene00008458,E02H1.6
WBGene00008462,E02H4.4
WBGene00008476,E03H4.8
WBGene00008477,clec-17
WBGene00008483,E04D5.4
WBGene00008486,ugt-44
WBGene00008488,F01D4.5
WBGene00008492,F01D5.1
WBGene00008493,F01D5.2
WBGene00008494,F01D5.3
WBGene00008495,F01D5.5
WBGene00008499,cyp-37A1
WBGene00008504,pigq-1
WBGene00008505,F01G4.6
WBGene00008506,tkt-1
WBGene00008519,cyp-13B1
WBGene00008528,F02E9.1
WBGene00008530,F02E9.5
WBGene00008542,scav-6
WBGene00008547,F07A11.4
WBGene00008548,F07A11.5
WBGene00008553,F07C6.2
WBGene00008557,F07H5.6
WBGene00008560,pho-13
WBGene00008563,F07H5.13
WBGene00008564,acox-1.1
WBGene00008565,acox-1.2
WBGene00008567,acox-1.4
WBGene00008572,F08B12.4
WBGene00008576,F08G2.4
WBGene00008577,F08G2.5
WBGene00008583,ugt-65
WBGene00008584,irg-4
WBGene00008594,clec-57
WBGene00008595,clec-56
WBGene00008596,clec-54
WBGene00008598,spin-3
WBGene00008599,F09A5.2
WBGene00008602,oac-14
WBGene00008606,dhhc-1
WBGene00008607,F09B12.3
WBGene00008621,F09C8.1
WBGene00008628,ttr-21
WBGene00008629,cpt-5
WBGene00008631,F10A3.1
WBGene00008633,fbxa-18
WBGene00008650,F10D11.4
WBGene00008669,acs-14
WBGene00008678,stdh-2
WBGene00008681,scrm-4
WBGene00008683,repo-1
WBGene00008690,F11C1.1
WBGene00008692,scav-4
WBGene00008694,vwa-8
WBGene00008698,F11D11.3
WBGene00008706,gba-3
WBGene00008707,F11E6.3
WBGene00008709,F11E6.6
WBGene00008712,F11E6.9
WBGene00008714,F11F1.1
WBGene00008719,ttr-52
WBGene00008726,F13A7.11
WBGene00008730,F13B12.2
WBGene00008741,ctsa-1.2
WBGene00008742,F13D12.8
WBGene00008752,fipr-15
WBGene00008755,sdz-13
WBGene00008764,dylt-1
WBGene00008767,F13G3.7
WBGene00008768,F13G3.10
WBGene00008781,rpoa-2
WBGene00008787,F14B6.6
WBGene00008802,acp-2
WBGene00008803,lips-10
WBGene00008806,mboa-7
WBGene00008828,
WBGene00008829,cyp-35D1
WBGene00008830,nhr-176
WBGene00008831,F14H3.12
WBGene00008842,
WBGene00008849,try-10
WBGene00008855,F15D3.5
WBGene00008865,F15G9.1
WBGene00008871,tag-314
WBGene00008891,clec-42
WBGene00008897,F16H6.7
WBGene00008900,F16H6.10
WBGene00008915,F17C11.4
WBGene00008917,F17C11.6
WBGene00008920,eef-1G
WBGene00008923,F17C11.12
WBGene00008930,F18A11.3
WBGene00008936,papl-1
WBGene00008939,F18H3.1
WBGene00008944,F19B2.5
WBGene00008954,F19C6.5
WBGene00008961,F19H6.6
WBGene00008967,F20B10.3
WBGene00008969,cdc-50.B
WBGene00008973,F20D1.1
WBGene00008975,F20D1.3
WBGene00008979,slc-25A18.1
WBGene00008986,F20G2.2
